,electricity,natural_gas,fuel_oil,vehicle_miles,housing_fp,county_total_fp
281,13367.0,26911.0,2,25077,14.4,340010
282,13958.0,28462.0,2,33596,15.0,307676
283,12897.0,35861.0,1,26125,14.6,811439
284,13297.0,32478.0,2,23621,14.8,199839
285,12437.0,29253.0,2,22381,13.8,449285
286,10682.0,25406.0,28,21893,12.8,425324
287,13214.0,39015.0,3,19528,15.1,4444507
288,15547.0,42823.0,4,29277,17.2,1448602
289,12570.0,27523.0,5,24069,13.9,75313
290,12878.0,28139.0,12,22972,14.3,318364
291,13326.0,37412.0,5,23437,15.1,1084569
292,11258.0,34923.0,12,23730,13.5,605135
293,12635.0,30075.0,5,20175,14.0,105723
294,12212.0,29332.0,2,20748,13.7,617075
295,12564.0,28207.0,8,24035,14.0,138816
296,11865.0,33410.0,21,20900,13.9,48485
297,12278.0,26899.0,11,22065,13.7,433952
298,11790.0,26493.0,3,21535,13.2,163551
299,12613.0,29783.0,3,20232,14.0,209121
300,13176.0,28688.0,5,22292,14.5,926144
301,12582.0,27688.0,7,21850,13.9,749031
302,12377.0,27299.0,5,21163,13.7,515519
303,10875.0,25155.0,37,20973,13.0,277313
304,12754.0,29585.0,3,22808,14.1,121065
305,12759.0,33819.0,3,22828,14.4,1183807
306,12461.0,28839.0,10,21630,14.0,188508
307,13817.0,30706.0,8,24676,15.1,175523
308,10754.0,25208.0,25,23177,12.8,449298
309,12552.0,35746.0,0,23276,14.3,515145
310,11694.0,31425.0,20,25044,13.9,1407888
311,14361.0,35087.0,4,31751,15.8,1516940
312,12743.0,29411.0,4,20885,14.1,737746
313,12681.0,32631.0,10,22009,14.3,113933
314,13517.0,33988.0,5,22711,15.0,384417
315,13014.0,29057.0,2,23723,14.3,507360
316,12142.0,26101.0,,23537,13.4,40161
317,12211.0,28946.0,1,22086,13.7,103364
318,10899.0,25756.0,14,26558,12.7,459266
319,11369.0,29599.0,12,25648,13.4,1578403
320,12418.0,26243.0,5,23995,13.7,169239
321,12815.0,35334.0,23,21835,14.9,255410
322,13506.0,31126.0,5,25608,14.8,245864
323,12864.0,27732.0,6,24087,14.1,349433
324,5307.0,24412.0,0,21841,8.3,2540934
325,5921.0,24005.0,0,21023,9.5,14660191
326,6224.0,24528.0,0,21805,9.0,946429
327,5168.0,23924.0,2,21748,8.1,2504491
328,11763.0,53041.0,11,26469,12.0,5965716
329,9153.0,23419.0,76,24846,9.6,78073
330,10181.0,51747.0,19,26351,11.3,1411073
331,10599.0,52671.0,26,27635,11.7,153215
332,8607.0,22923.0,117,26995,9.8,199397
333,10883.0,44445.0,43,31575,11.5,718652
334,9751.0,45836.0,11,25211,10.5,577926
335,9338.0,23838.0,20,25724,8.9,141867
336,9243.0,31670.0,36,25143,9.6,817282
337,10522.0,48883.0,23,27689,11.5,1510939
338,10113.0,39933.0,24,30380,10.6,194199
339,9153.0,23502.0,51,30069,9.3,66346
340,9188.0,23592.0,64,28157,9.5,24345
341,10856.0,41253.0,38,26819,11.1,2318032
342,11469.0,56700.0,24,28560,12.4,162621
343,10179.0,35931.0,33,27450,10.5,363846
344,8380.0,23887.0,63,24700,8.9,17613
345,8301.0,22667.0,125,26732,9.8,191478
346,8672.0,22967.0,21,24395,8.6,116002
347,10026.0,45020.0,8,25498,10.5,477518
348,11961.0,44448.0,107,33572,12.9,212357
349,10119.0,37121.0,70,28868,11.0,324820
350,10505.0,35422.0,25,29841,10.4,275199
351,9811.0,34680.0,32,28976,10.1,259091
352,8548.0,23048.0,118,26587,9.9,269575
353,11139.0,40569.0,59,33794,11.6,345817
354,10136.0,34041.0,53,29528,10.5,327956
355,10344.0,47917.0,14,26671,11.0,2219609
356,8752.0,37018.0,38,25482,9.8,617173
357,8292.0,23276.0,44,27273,8.7,176892
358,8807.0,22781.0,135,27790,10.2,121765
359,9936.0,33514.0,65,30707,10.5,78367
